State,lifeQualityRank
Washington,1
New Hampshire,2
Minnesota,3
Utah,4
Vermont,5
Maryland,6
Virginia,7
Massachusetts,8
Nebraska,9
Colorado,10
Wisconsin,11
New Jersey,12
Florida,13
Iowa,14
North Dakota,15
Idaho,16
Georgia,17
North Carolina,18
California,19
South Dakota,20
Connecticut,21
Kansas,22
Delaware,23
Hawaii,24
New York,25
Rhode Island,26
Oregon,27
Missouri,28
Montana,29
Tennessee,30
Wyoming,31
Maine,32
Michigan,33
Arizona,34
Illinois,35
Indiana,36
Nevada,37
Texas,38
Ohio,39
Kentucky,40
Pennsylvania,41
South Carolina,42
Oklahoma,43
Alaska,44
Arkansas,45
New Mexico,46
West Virginia,47
Mississippi,48
Alabama,49
Louisiana,50
